Lag,Hemmavinst,Hemmaförlust,Bortavinst,Bortaförlust,Oavgjort Hemma,Oavgjort Borta,Säsong
Söderhamns UIF,7,0,4,3,0,0,2023/24
Eslövs AI BTK,7,0,5,2,0,0,2023/2024
BTK Rekord,5,2,4,3,0,0,2023/2024
Spårvägens BTK,4,3,4,3,0,0,2023/2024
Halmstad BTK,2,5,3,4,0,0,2023/2024
Munkedals BTK,2,5,4,3,0,0,2023/2024
BTK Kävlinge,4,3,2,5,0,0,2023/2024
Lyckeby BTK,0,7,0,7,0,0,2023/2024
Söderhamns UIF,6,1,5,2,0,0,2022/2023
Eslövs AI BTK,6,1,3,4,0,0,2022/2023
Spårvägens BTK,6,1,3,4,0,0,2022/2023
BTK Rekord,5,2,4,3,0,0,2022/2023
Halmstad BTK,4,3,4,3,0,0,2022/2023
Munkedals BTK,3,4,2,5,0,0,2022/2023
BTK Kävlinge,3,4,1,6,0,0,2022/2023
Västers BTK,1,6,0,7,0,0,2022/2023
Eslövs AI BTK,6,1,5,2,0,0,2021/2022
Halmstad BTK,6,1,3,4,0,0,2021/2022
Söderhamns UIF,6,1,4,3,0,0,2021/2022
Spårvägens BTK,5,2,3,4,0,0,2021/2022
Munkedals BTK,6,1,3,4,0,0,2021/2022
BTK Kävlinge,4,3,2,5,0,0,2021/2022
BTK Rekord,1,6,1,6,0,0,2021/2022
Falkenbergs BTK,0,7,1,6,0,0,2021/2022
Spårvägens BTK,6,1,7,0,0,0,2020/2021
Halmstad BTK,3,4,7,0,0,0,2020/2021
Eslövs AI BTK,5,2,5,2,0,0,2020/2021
Söderhamns UIF,5,2,4,3,0,0,2020/2021
Munkedals BTK,3,4,3,4,0,0,2020/2021
BTK Kävlinge,1,6,3,4,0,0,2020/2021
Falkenbergs BTK,2,5,2,5,0,0,2020/2021
Lyckeby BTK,0,7,0,7,0,0,2020/2021
Eslövs AI BTK,7,0,7,0,0,0,2019/2020
Halmstad BTK,6,1,5,2,0,0,2019/2020
Söderhamns UIF,4,3,3,4,0,0,2019/2020
Falkenbergs BTK,3,4,3,4,0,0,2019/2020
Munkedals BTK,2,5,3,4,0,0,2019/2020
Spårvägens BTK,2,5,3,4,0,0,2019/2020
BTK Kävlinge,2,5,2,5,0,0,2019/2020
BTK Rekord,2,5,2,5,0,0,2019/2020
Eslövs AI BTK,5,2,7,0,0,0,2018/2019
Halmstad BTK,6,1,6,1,0,0,2018/2019
BTK Rekord,4,3,4,3,0,0,2018/2019
Spårvägens BTK,4,3,2,5,0,0,2018/2019
Söderhamns UIF,4,3,3,4,0,0,2018/2019
BTK Kävlinge,3,4,2,5,0,0,2018/2019
Falkenbergs BTK,1,6,2,5,0,0,2018/2019
Ängby SK,1,6,1,6,0,0,2018/2019
Eslövs AI BTK,6,0,4,2,1,1,2017/2018
Söderhamns UIF,3,2,3,1,2,3,2017/2018
BTK Warta,3,1,2,2,3,3,2017/2018
Halmstad BTK,4,1,1,3,2,3,2017/2018
BTK Rekord,2,2,2,3,3,2,2017/2018
Spårvägens BTK,4,1,0,6,2,1,2017/2018
BTK Kävlinge,2,3,1,4,2,2,2017/2018
Falkenbergs BTK,2,4,1,5,1,1,2017/2018
BTK Rekord,5,1,6,1,1,0,2016/2017
Eslövs AI BTK,6,0,4,2,1,1,2016/2017
Söderhamns UIF,4,2,3,2,1,2,2016/2017
Falkenbergs BTK,4,2,3,3,1,1,2016/2017
Halmstad BTK,5,1,2,5,1,0,2016/2017
BTK Warta,1,4,2,3,2,2,2016/2017
BTK Kävlinge,1,4,0,6,2,1,2016/2017
Österlens BTK,1,6,0,5,0,2,2016/2017
Eslövs AI BTK,6,0,4,0,1,3,2015/2016
Söderhamns UIF,3,1,4,3,3,0,2015/2016
Halmstad BTK,4,0,1,3,3,3,2015/2016
BTK Warta,3,2,2,4,2,1,2015/2016
BTK Rekord,3,3,2,3,1,2,2015/2016
Österlens BTK,2,5,3,2,0,2,2015/2016
Falkenbergs BTK,3,2,1,6,2,0,2015/2016
Spårvägens BTK,1,5,1,4,1,2,2015/2016
Halmstad BTK,6,0,9,0,3,0,2014/2015
Eslövs AI BTK,8,1,8,1,0,0,2014/2015
Söderhamns UIF,5,4,6,2,0,1,2014/2015
Falkenbergs BTK,5,3,5,2,1,2,2014/2015
BTK Rekord,5,3,5,3,1,1,2014/2015
Spårvägens BTK,4,3,2,7,2,0,2014/2015
Österlens BTK,2,4,2,7,3,0,2014/2015
BTK Kävlinge,2,7,0,3,6,0,2014/2015
BTK Warta,1,7,1,6,1,2,2014/2015
Tibble Kungsängens BTK,0,7,1,7,2,1,2014/20215
Halmstad BTK,8,1,7,2,0,0,2013/2014
Eslövs AI BTK,8,1,7,2,0,0,2013/2014
Söderhamns UIF,5,4,8,1,0,0,2013/2014
BTK Rekord,6,3,6,3,0,0,2013/2014
Österlens BTK,7,2,3,6,0,0,2013/2014
Falkenbergs BTK,4,5,5,4,0,0,2013/2014
BTK Warta,3,6,4,5,0,0,2013/2014
BTK Kävlinge,1,8,3,6,0,0,2013/2014
Spårvägens BTK,1,8,2,7,0,0,2013/2014
Tibble Kungsängens BTK,1,8,1,8,0,0,2013/2014
Eslövs AI BTK,8,1,8,1,0,0,2012/2013
Österlens BTK,8,1,6,3,0,0,2012/2013
Halmstad BTK,7,2,6,3,0,0,2012/2013
Söderhamns UIF,7,2,6,3,0,0,2012/2013
Spårvägens BTK,5,4,4,5,0,0,2012/2013
Falkenbergs BTK,4,5,4,5,0,0,2012/2013
Frej Växjö,5,4,3,6,0,0,2012/2013
BTK Warta,4,5,3,6,0,0,2012/2013
BTK Kävlinge,1,8,0,9,0,0,2012/2013
Tibble Kungsängens BTK,1,8,0,9,0,0,2012/2013
Eslövs AI BTK,8,1,8,1,0,0,2011/2012
Halmstad BTK,9,0,6,3,0,0,2011/2012
Söderhamns UIF,7,2,5,4,0,0,2011/2012
BTK Warta,6,3,4,5,0,0,2011/2012
Spårvägens BTK,6,3,3,6,0,0,2011/2012
Frej Växjö,4,5,5,4,0,0,2011/2012
Falkenbergs BTK,3,6,3,6,0,0,2011/2012
Österlens BTK,4,5,2,7,0,0,2011/2012
BTK Kävlinge,4,5,2,7,0,0,2011/2012
Markaryds BTK,1,8,0,9,0,0,2011/2012
Söderhamns UIF,6,3,9,0,0,0,2010/2011
Eslövs AI BTK,6,3,6,3,0,0,2010/2011
Österlens BTK,6,3,5,4,0,0,2010/2011
Falkenbergs BTK,6,3,7,2,0,0,2010/2011
BTK Warta,6,3,2,7,0,0,2010/2011
Halmstad BTK,5,4,5,5,0,0,2010/2011
BTK Kävlinge,2,7,4,5,0,0,2010/2011
Spårvägens BTK,2,7,3,6,0,0,2010/2011
Frej Växjö,3,6,4,5,0,0,2010/2011
BTK Rekord,2,7,2,7,0,0,2010/2011